cipher_id,openssl,gnutls,standard
"0xC0,0x23",ECDHE-ECDSA-AES128-SHA256,-,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256
"0xC0,0x13",ECDHE-RSA-AES128-SHA,-,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA
"0xC0,0x09",ECDHE-ECDSA-AES128-SHA,-,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA
"0xC0,0x1F",SRP-DSS-AES-128-CBC-SHA,-,TLS_SRP_SHA_DSS_WITH_AES_128_CBC_SHA
"0xC0,0x1E",SRP-RSA-AES-128-CBC-SHA,-,TLS_SRP_SHA_RSA_WITH_AES_128_CBC_SHA
"0x00,0xA2",DHE-DSS-AES128-GCM-SHA256,-,TLS_DHE_DSS_WITH_AES_128_GCM_SHA256
"0x00,0x9E",DHE-RSA-AES128-GCM-SHA256,-,TLS_DHE_RSA_WITH_AES_128_GCM_SHA256
"0x00,0x9A",DHE-RSA-SEED-SHA,-,TLS_DHE_RSA_WITH_SEED_CBC_SHA
"0x00,0x99",DHE-DSS-SEED-SHA,-,TLS_DHE_DSS_WITH_SEED_CBC_SHA
"0xC0,0x18",AECDH-AES128-SHA,-,TLS_ECDH_anon_WITH_AES_128_CBC_SHA
"0xC0,0x1D",SRP-AES-128-CBC-SHA,-,TLS_SRP_SHA_WITH_AES_128_CBC_SHA
"0x00,0xA6",ADH-AES128-GCM-SHA256,-,TLS_DH_anon_WITH_AES_128_GCM_SHA256
"0x00,0x6C",ADH-AES128-SHA256,-,TLS_DH_anon_WITH_AES_128_CBC_SHA256
"0x00,0x9B",ADH-SEED-SHA,-,TLS_DH_anon_WITH_SEED_CBC_SHA
"0xC0,0x31",ECDH-RSA-AES128-GCM-SHA256,-,TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256
"0xC0,0x2D",ECDH-ECDSA-AES128-GCM-SHA256,-,TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256
"0xC0,0x29",ECDH-RSA-AES128-SHA256,-,TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256
"0xC0,0x25",ECDH-ECDSA-AES128-SHA256,-,TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256
"0xC0,0x0E",ECDH-RSA-AES128-SHA,-,TLS_ECDH_RSA_WITH_AES_128_CBC_SHA
"0xC0,0x04",ECDH-ECDSA-AES128-SHA,-,TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA
"0x00,0x9C",AES128-GCM-SHA256,-,TLS_RSA_WITH_AES_128_GCM_SHA256
"0x00,0x3C",AES128-SHA256,-,TLS_RSA_WITH_AES_128_CBC_SHA256
"0x00,0x2F",AES128-SHA,-,TLS_RSA_WITH_AES_128_CBC_SHA
"0x00,0x96",SEED-SHA,-,TLS_RSA_WITH_SEED_CBC_SHA
"0x03,0x00,0x80",RC2-CBC-MD5,-,-
"0x00,0x8C",PSK-AES128-CBC-SHA,-,TLS_PSK_WITH_AES_128_CBC_SHA
"0xC0,0x11",ECDHE-RSA-RC4-SHA,-,TLS_ECDHE_RSA_WITH_RC4_128_SHA
"0xC0,0x07",ECDHE-ECDSA-RC4-SHA,-,TLS_ECDHE_ECDSA_WITH_RC4_128_SHA
"0xC0,0x16",AECDH-RC4-SHA,-,TLS_ECDH_anon_WITH_RC4_128_SHA
"0xC0,0x0C",ECDH-RSA-RC4-SHA,-,TLS_ECDH_RSA_WITH_RC4_128_SHA
"0xC0,0x02",ECDH-ECDSA-RC4-SHA,-,TLS_ECDH_ECDSA_WITH_RC4_128_SHA
"0x01,0x00,0x80",RC4-MD5,-,-
"0x00,0x8A",PSK-RC4-SHA,-,TLS_PSK_WITH_RC4_128_SHA
"0x00,0x15",EDH-RSA-DES-CBC-SHA,-,TLS_DHE_RSA_WITH_DES_CBC_SHA
"0x00,0x12",EDH-DSS-DES-CBC-SHA,-,TLS_DHE_DSS_WITH_DES_CBC_SHA
"0x00,0x1A",ADH-DES-CBC-SHA,-,TLS_DH_anon_WITH_DES_CBC_SHA
"0x00,0x09",DES-CBC-SHA,-,TLS_RSA_WITH_DES_CBC_SHA
"0x06,0x00,0x40",DES-CBC-MD5,-,-
"0x00,0x14",EXP-EDH-RSA-DES-CBC-SHA,-,TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA
"0x00,0x11",EXP-EDH-DSS-DES-CBC-SHA,-,TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA
"0x00,0x19",EXP-ADH-DES-CBC-SHA,-,TLS_DH_anon_EXPORT_WITH_DES40_CBC_SHA
"0x00,0x08",EXP-DES-CBC-SHA,-,TLS_RSA_EXPORT_WITH_DES40_CBC_SHA
"0x00,0x06",EXP-RC2-CBC-MD5,-,TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5
"0x04,0x00,0x80",EXP-RC2-CBC-MD5,-,-
"0x00,0x17",EXP-ADH-RC4-MD5,-,TLS_DH_anon_EXPORT_WITH_RC4_40_MD5
"0x00,0x03",EXP-RC4-MD5,-,TLS_RSA_EXPORT_WITH_RC4_40_MD5
"0x02,0x00,0x80",EXP-RC4-MD5,-,-
"0x00,0x00",-,-,TLS_NULL_WITH_NULL_NULL
"0x00,0x07",-,-,TLS_RSA_WITH_IDEA_CBC_SHA
"0x00,0x0B",-,-,TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA
"0x00,0x0C",-,-,TLS_DH_DSS_WITH_DES_CBC_SHA
"0x00,0x0D",-,-,TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA
"0x00,0x0E",-,-,TLS_DH_RSA_EXPORT_WITH_DES40_CBC_SHA
"0x00,0x0F",-,-,TLS_DH_RSA_WITH_DES_CBC_SHA
"0x00,0x10",-,-,TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA
"0x00,0x1C-1D",-,-,Reserved to avoid conflicts with SSLv3
"0x00,0x1E",-,-,TLS_KRB5_WITH_DES_CBC_SHA
"0x00,0x1F",-,-,TLS_KRB5_WITH_3DES_EDE_CBC_SHA
"0x00,0x20",-,-,TLS_KRB5_WITH_RC4_128_SHA
"0x00,0x21",-,-,TLS_KRB5_WITH_IDEA_CBC_SHA
"0x00,0x22",-,-,TLS_KRB5_WITH_DES_CBC_MD5
"0x00,0x23",-,-,TLS_KRB5_WITH_3DES_EDE_CBC_MD5
"0x00,0x24",-,-,TLS_KRB5_WITH_RC4_128_MD5
"0x00,0x25",-,-,TLS_KRB5_WITH_IDEA_CBC_MD5
"0x00,0x26",-,-,TLS_KRB5_EXPORT_WITH_DES_CBC_40_SHA
"0x00,0x27",-,-,TLS_KRB5_EXPORT_WITH_RC2_CBC_40_SHA
"0x00,0x28",-,-,TLS_KRB5_EXPORT_WITH_RC4_40_SHA
"0x00,0x29",-,-,TLS_KRB5_EXPORT_WITH_DES_CBC_40_MD5
"0x00,0x2A",-,-,TLS_KRB5_EXPORT_WITH_RC2_CBC_40_MD5
"0x00,0x2B",-,-,TLS_KRB5_EXPORT_WITH_RC4_40_MD5
"0x00,0x2C",-,-,TLS_PSK_WITH_NULL_SHA
"0x00,0x2D",-,-,TLS_DHE_PSK_WITH_NULL_SHA
"0x00,0x2E",-,-,TLS_RSA_PSK_WITH_NULL_SHA
"0x00,0x30",-,-,TLS_DH_DSS_WITH_AES_128_CBC_SHA
"0x00,0x31",-,-,TLS_DH_RSA_WITH_AES_128_CBC_SHA
"0x00,0x36",-,-,TLS_DH_DSS_WITH_AES_256_CBC_SHA
"0x00,0x37",-,-,TLS_DH_RSA_WITH_AES_256_CBC_SHA
"0x00,0x3B",-,-,TLS_RSA_WITH_NULL_SHA256
"0x00,0x3E",-,-,TLS_DH_DSS_WITH_AES_128_CBC_SHA256
"0x00,0x3F",-,-,TLS_DH_RSA_WITH_AES_128_CBC_SHA256
"0x00,0x42",-,-,TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA
"0x00,0x43",-,-,TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA
